id,listing_url,borough,neighborhood,room_type,property_type,nightly_price
1674031838915420225,https://www.airbnb.com/rooms/1674031838915420225,Manhattan,Financial District,Entire home/apt,Entire rental unit,816.0
31473340,https://www.airbnb.com/rooms/31473340,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire rental unit,91.27
1563036026900980571,https://www.airbnb.com/rooms/1563036026900980571,Brooklyn,Flatbush,Private room,Private room in home,203.13
1257659081038880456,https://www.airbnb.com/rooms/1257659081038880456,Staten Island,Tompkinsville,Private room,Private room in home,232.0
50744441,https://www.airbnb.com/rooms/50744441,Manhattan,Upper East Side,Entire home/apt,Entire rental unit,211.57
1489439655923811327,https://www.airbnb.com/rooms/1489439655923811327,Queens,Long Island City,Entire home/apt,Entire rental unit,138.13
21549554,https://www.airbnb.com/rooms/21549554,Queens,Elmhurst,Private room,Private room in home,135.75
22951923,https://www.airbnb.com/rooms/22951923,Brooklyn,Bedford-Stuyvesant,Private room,Private room in townhouse,165.56
1409141630332131061,https://www.airbnb.com/rooms/1409141630332131061,Brooklyn,Prospect-Lefferts Gardens,Private room,Private room in rental unit,58.1
823406575491358222,https://www.airbnb.com/rooms/823406575491358222,Manhattan,Tribeca,Entire home/apt,Entire rental unit,199.03
692759176797642090,https://www.airbnb.com/rooms/692759176797642090,Brooklyn,Crown Heights,Private room,Private room in townhouse,62.7
39833359,https://www.airbnb.com/rooms/39833359,Queens,Astoria,Shared room,Shared room in rental unit,409.0
49346114,https://www.airbnb.com/rooms/49346114,Queens,Ditmars Steinway,Entire home/apt,Entire rental unit,162.06
45616727,https://www.airbnb.com/rooms/45616727,Brooklyn,Williamsburg,Private room,Private room in rental unit,95.86
1071688769658832375,https://www.airbnb.com/rooms/1071688769658832375,Brooklyn,Bedford-Stuyvesant,Private room,Private room in rental unit,48.9
821012397088618609,https://www.airbnb.com/rooms/821012397088618609,Manhattan,Lower East Side,Entire home/apt,Entire rental unit,227.72
705164127784347385,https://www.airbnb.com/rooms/705164127784347385,Brooklyn,Brighton Beach,Entire home/apt,Entire rental unit,193.5
47900810,https://www.airbnb.com/rooms/47900810,Brooklyn,East Flatbush,Private room,Private room in townhouse,155.2
788465505169839820,https://www.airbnb.com/rooms/788465505169839820,Manhattan,Hell's Kitchen,Private room,Room in hotel,559.98
51868809,https://www.airbnb.com/rooms/51868809,Queens,Rego Park,Private room,Private room in townhouse,49.8
1537751159405810226,https://www.airbnb.com/rooms/1537751159405810226,Manhattan,Hell's Kitchen,Entire home/apt,Entire rental unit,59.11
16965072,https://www.airbnb.com/rooms/16965072,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire townhouse,221.6
27295492,https://www.airbnb.com/rooms/27295492,Manhattan,East Harlem,Private room,Private room in rental unit,88.5
24996332,https://www.airbnb.com/rooms/24996332,Queens,East Elmhurst,Private room,Private room in home,132.0
571085392689494584,https://www.airbnb.com/rooms/571085392689494584,Bronx,Edenwald,Entire home/apt,Entire rental unit,100.93
20581903,https://www.airbnb.com/rooms/20581903,Brooklyn,Brownsville,Private room,Private room in townhouse,75.89
53031902,https://www.airbnb.com/rooms/53031902,Manhattan,Harlem,Private room,Private room in condo,93.89
