listing_id,listing_name,listing_url,borough,neighborhood,room_type,property_type,host_tier,market_segment,actual_price_usd,predicted_fair_price_usd,predicted_price_q10,predicted_price_q90,interval_width_pct,direction_confidence,confidence_score,confidence_level,residual_usd,residual_pct_of_fair,pricing_signal
2584498,Beautiful Studio available nyc,https://www.airbnb.com/rooms/2584498,Manhattan,Midtown,Entire home/apt,Entire condo,Individual,monthly,137.16,209.41,134.47,312.82,0.8496,Uncertain (within plausible range),21.6,Low,-72.25,-0.345,Below model benchmark (review price)
2607583,Afi Apartment Studio Upper East Side,https://www.airbnb.com/rooms/2607583,Manhattan,Upper East Side,Entire home/apt,Entire rental unit,Enterprise,monthly,118.0,136.33,114.01,188.53,0.5476,Uncertain (within plausible range),74.7,Medium,-18.33,-0.1344,Below model benchmark (review price)
2619549,Afi Apartments Charming 2 Bedroom| Upper East Side,https://www.airbnb.com/rooms/2619549,Manhattan,Upper East Side,Entire home/apt,Entire rental unit,Enterprise,monthly,165.93,140.57,122.23,245.31,0.8702,Uncertain (within plausible range),19.2,Low,25.36,0.1804,Above model benchmark (review price)
2619802,Afi Apartments Incredible 2-BR Upper East Side,https://www.airbnb.com/rooms/2619802,Manhattan,Upper East Side,Entire home/apt,Entire rental unit,Enterprise,monthly,167.8,179.82,128.65,319.71,1.0535,Uncertain (within plausible range),7.4,Low,-12.02,-0.0668,Within 10% of model benchmark
3238517,Brooklyn Cozy Garden Apt,https://www.airbnb.com/rooms/3238517,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire townhouse,Individual,monthly,100.15,128.63,110.54,172.93,0.4922,Confident: raise price,84.9,Medium,-28.48,-0.2214,Below model benchmark (review price)
2187682,Upper West Side Garden Apartment,https://www.airbnb.com/rooms/2187682,Manhattan,Upper West Side,Entire home/apt,Entire rental unit,Small-Multi,monthly,216.83,186.29,161.82,261.56,0.5484,Uncertain (within plausible range),74.5,Medium,30.54,0.1639,Above model benchmark (review price)
2620068,Afi Apartments 1 bedroom Upper East Side,https://www.airbnb.com/rooms/2620068,Manhattan,Upper East Side,Entire home/apt,Entire rental unit,Enterprise,monthly,137.93,152.71,117.23,209.84,0.6062,Uncertain (within plausible range),62.8,Medium,-14.78,-0.0968,Within 10% of model benchmark
2636532,Afi Apartments Gorgeous 2-Bedroom Upper East Side,https://www.airbnb.com/rooms/2636532,Manhattan,Upper East Side,Entire home/apt,Entire rental unit,Enterprise,monthly,162.93,163.17,125.96,202.27,0.4701,Uncertain (within plausible range),87.6,Medium,-0.24,-0.0014,Within 10% of model benchmark
3265982,"Entire apt, sparkling clean, cozy Summer One BD",https://www.airbnb.com/rooms/3265982,Brooklyn,Gowanus,Entire home/apt,Entire condo,Individual,monthly,127.7,194.46,115.25,355.09,1.2194,Uncertain (within plausible range),3.2,Low,-66.76,-0.3433,Below model benchmark (review price)
3279671,Quiet 1BR in Chelsea,https://www.airbnb.com/rooms/3279671,Manhattan,Chelsea,Entire home/apt,Entire rental unit,Individual,monthly,224.29,148.9,113.5,221.93,0.7313,Confident: lower price,37.6,Medium,75.39,0.5064,Above model benchmark (review price)
2209835,Murray Hill/Kips Bay - Large 1 bedroom Apt.,https://www.airbnb.com/rooms/2209835,Manhattan,Kips Bay,Entire home/apt,Entire rental unit,Individual,monthly,173.95,162.43,130.23,221.13,0.5697,Uncertain (within plausible range),70.3,Medium,11.52,0.0709,Within 10% of model benchmark
2645558,A bright spacious one-bedroom,https://www.airbnb.com/rooms/2645558,Manhattan,Gramercy,Entire home/apt,Entire condo,Individual,monthly,174.04,216.18,144.23,281.44,0.6416,Uncertain (within plausible range),54.5,Medium,-42.14,-0.1949,Below model benchmark (review price)
2659732,Cozy Greenpoint Room with backyard,https://www.airbnb.com/rooms/2659732,Brooklyn,Greenpoint,Private room,Private room in rental unit,Small-Multi,monthly,48.95,68.91,49.47,120.79,1.0157,Confident: raise price,9.1,Low,-19.96,-0.2896,Below model benchmark (review price)
3339399,139-3E West Village 1BR best value,https://www.airbnb.com/rooms/3339399,Manhattan,West Village,Entire home/apt,Entire rental unit,Enterprise,monthly,338.28,253.8,160.73,354.5,0.7602,Uncertain (within plausible range),33.2,Medium,84.48,0.3329,Above model benchmark (review price)
3360707,The Hideaway,https://www.airbnb.com/rooms/3360707,Manhattan,Harlem,Private room,Private room in rental unit,Small-Multi,monthly,55.33,59.22,39.8,77.73,0.6467,Uncertain (within plausible range),53.5,Medium,-3.89,-0.0658,Within 10% of model benchmark
3369100,Park Slope Studio,https://www.airbnb.com/rooms/3369100,Brooklyn,Park Slope,Private room,Private room in rental unit,Individual,monthly,181.53,106.16,69.96,142.83,0.7089,Confident: lower price,41.6,Medium,75.37,0.71,Above model benchmark (review price)
3379914,Spacious & Cozy NYC Apartment in Brooklyn/Queens,https://www.airbnb.com/rooms/3379914,Queens,Ridgewood,Entire home/apt,Entire rental unit,Individual,monthly,40.58,101.65,73.12,157.33,0.8201,Confident: raise price,24.7,Low,-61.07,-0.6008,Below model benchmark (review price)
2700296,Sunny Bedroom for two,https://www.airbnb.com/rooms/2700296,Manhattan,Harlem,Private room,Private room in townhouse,Small-Multi,monthly,234.67,81.96,58.78,116.1,0.6997,Confident: lower price,43.2,Medium,152.71,1.8632,Above model benchmark (review price)
