id,last_scraped,listing_first_review_date,listing_last_review_date,host_id,host_experience_years,listing_name,listing_url,borough,neighborhood,latitude,longitude,room_type,property_type,max_guests,bedrooms,beds,bathrooms,bedrooms_imputed,beds_imputed,bathrooms_imputed,nightly_price,days_available_next_365,min_nights,max_nights,is_monthly_rental(min_nights>28),total_reviews,reviews_last_12mo,reviews_last_30d,reviews_per_month,rating_overall,rating_cleanliness,rating_checkin,rating_communication,rating_location,rating_value,rating_listing_accuracy,is_superhost,host_total_listings,occupancy_rate,estimated_annual_revenue,host_tier,capacity_tier,segment,days_since_last_review,reviews_last_12mo_verified,sentiment_score,has_smoke_alarm,has_wifi,has_carbon_monoxide_alarm,has_hot_water,has_hangers,has_kitchen,has_bed_linens,has_hair_dryer,has_iron,has_essentials,has_dishes_and_silverware,has_microwave,has_refrigerator,has_cooking_basics,has_dedicated_workspace,has_air_conditioning,has_shampoo,has_heating,has_self_check_in,has_fire_extinguisher,occupancy_Jan,occupancy_Feb,occupancy_Mar,occupancy_Apr,occupancy_May,occupancy_Jun,occupancy_Jul,occupancy_Aug,occupancy_Sep,occupancy_Oct,occupancy_Nov,occupancy_Dec,occupancy_rate_calendar
1282794995978969622,6/14/26,3/30/25,6/11/26,650030672,1,Family Escape In The Heart Of Chelsea | 2 Doubles,https://www.airbnb.com/rooms/1282794995978969622,Manhattan,Chelsea,40.74671,-73.99165,Private room,Room in hotel,4,1,2,1,0,0,0,262.53,150,1,365,0,27,12,2,1.83,4.11,4.22,4.37,4.41,4.59,4.04,4.22,f,2,154,40430,Small-Multi,medium,Manhattan | Private room | medium,3,12,3.8,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0.2903,0.1935,0.0333,0.1613,0.1333,0.7742,0.589
1282846683845296215,6/23/26,1/12/25,3/31/26,92695464,1,Beautiful One Bedroom Loft,https://www.airbnb.com/rooms/1282846683845296215,Manhattan,Midtown,40.76036804345227,-73.97077398,Entire home/apt,Entire rental unit,2,1,1,1,0,1,0,202.8,36,30,120,1,4,2,0,0.23,5,5,5,5,5,4.75,5,f,2,120,24336,Small-Multi,small,Manhattan | Entire home/apt | small,75,3,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.4333,0.3871,0.9014
1287085243477928046,6/14/26,1/6/25,5/24/26,555609789,2,Charming 2-Bedroom little Italy,https://www.airbnb.com/rooms/1287085243477928046,Manhattan,Little Italy,40.71803246056708,-73.99938174,Entire home/apt,Entire rental unit,5,2,3,1,0,0,0,688.67,165,3,365,0,50,33,1,2.86,4.78,4.8,4.84,4.8,4.82,4.6,4.78,t,3,255,175611,Small-Multi,large,Manhattan | Entire home/apt | large,21,33,4.4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0.5333,1,1,1,1,1,1,0.5479
1287114426742259858,6/15/26,12/9/24,6/8/26,129539413,1,Luxury apartment close to JFK Airport,https://www.airbnb.com/rooms/1287114426742259858,Queens,Howard Beach,40.65431,-73.82865,Entire home/apt,Entire rental unit,6,3,4,2,0,0,0,463,246,1,90,0,58,37,3,3.14,4.79,4.84,4.97,4.95,4.71,4.66,4.9,t,1,255,118065,Individual,large,Queens | Entire home/apt | large,6,37,3.6,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0.6774,1,1,0.8,0.3226,0.0645,0.0333,0,0,0,0.326
1287296794548498236,6/15/26,5/31/25,5/17/26,471345215,3,Female shared-Beautiful private room in Queens,https://www.airbnb.com/rooms/1287296794548498236,Queens,Ozone Park,40.6762366,-73.8594801,Private room,Private room in home,1,1,1,1,1,0,0,63.23,318,30,365,1,3,2,1,0.24,5,4.67,5,5,4,5,5,t,30,120,7588,Enterprise,small,Queens | Private room | small,28,2,4.333,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0.5333,1,0,0,0,0,0,0.1288
1287739461481439132,6/15/26,12/17/24,1/31/26,660044956,1,Private Cozy & Quiet 1BR. Near JFK & UBS Arena.,https://www.airbnb.com/rooms/1287739461481439132,Queens,Queens Village,40.70303,-73.74392,Entire home/apt,Entire home,2,1,1,1,0,0,0,99.58,316,30,365,1,2,1,0,0.11,5,5,5,5,5,5,5,t,2,60,5975,Small-Multi,small,Queens | Entire home/apt | small,134,1,4.5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0.5333,1,0.0645,0,0,0,0,0.1342
1287801525313977680,6/15/26,12/9/24,4/28/26,653692663,1,POD Brooklyn - Bunk room in vibrant neighborhood,https://www.airbnb.com/rooms/1287801525313977680,Brooklyn,Williamsburg,40.715196,-73.9590906,Private room,Room in hotel,2,1,2,1,0,0,0,218,112,1,731,0,93,90,0,5.04,4.74,4.74,4.85,4.6,4.91,4.7,4.76,f,1,255,55590,Individual,small,Brooklyn | Private room | small,47,90,3.8,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0.5,0,0,0,0.8387,1,1,0.6932
1266965813831199997,6/14/26,11/29/24,5/30/26,657010397,1,Private Townhouse in Midtown,https://www.airbnb.com/rooms/1266965813831199997,Manhattan,Midtown,40.75648062453329,-73.96816936,Entire home/apt,Entire home,8,4,5,5.5,0,0,0,1381.33,192,3,365,0,54,29,1,2.88,4.59,4.41,4.81,4.61,4.89,4.39,4.54,f,7,255,352239,Mid-Multi,large,Manhattan | Entire home/apt | large,15,29,4.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5161,1,1,1,1,0.6333,0.1613,0.0323,0.1333,0,0.1667,0.0968,0.474
1267386030421794104,6/15/26,4/22/25,10/3/25,17332007,1,Soho / Nolita One Bedroom Entire Unit,https://www.airbnb.com/rooms/1267386030421794104,Manhattan,Nolita,40.72132838,-73.99559272,Entire home/apt,Entire rental unit,2,1,1,1,0,0,0,226.37,89,30,90,1,2,1,0,0.14,5,5,5,5,5,5,5,f,1,60,13582,Individual,small,Manhattan | Entire home/apt | small,254,1,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0.4667,0,0,0.6333,1,1,1,0.7562
1292937113608558888,6/14/26,12/31/25,3/19/26,16531560,0,Luxury 2BR Apt — Steps from Central Park & Subway,https://www.airbnb.com/rooms/1292937113608558888,Manhattan,Hell's Kitchen,40.76855981,-73.98638109,Entire home/apt,Entire rental unit,4,2,3,2,0,0,0,403.53,207,30,45,1,2,2,0,0.36,5,5,5,5,5,5,5,f,1,120,48424,Individual,medium,Manhattan | Entire home/apt | medium,87,2,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.3226,0,0,0,0,0.5667,0.8065,1,0.8,1,0,0.6452,0.4329
