model,evaluation,train_rows,test_rows,smearing_factor,MAE_USD,RMSE_USD,R2_price,MAPE,Median_APE,RMSE_log,R2_log
Log-linear OLS,80/20 holdout,7801,1951,1.1636963665290188,113.21936031024767,218.91904609665355,0.24291574274213212,0.5884430031768083,0.3921298918396832,0.5587483275215267,0.485984712103505
Random Forest (log target),80/20 holdout,7801,1951,1.0339174338427624,92.93711918401165,176.83428883525266,0.506019185661321,0.41414167688568354,0.2933911537608939,0.4807799852675332,0.6194284462962529
