feature,coefficient_log_price,robust_std_error_HC3,p_value,approx_percent_effect
const,2.9388809003924896,0.11992226971709576,1.257828065154847e-132,1789.468943660493
max_guests,0.15000202427105402,0.006777048106013398,1.4934163249593088e-108,16.183659459809064
bedrooms,0.08481633877720768,0.01571714197046174,6.798275103231844e-08,8.851712995152972
beds,-0.005375935661779144,0.009815382101309273,0.5838943518689395,-0.5361511179597822
bathrooms,0.052575227146018436,0.018757677366872845,0.005065095182722432,5.398184714262122
rating_overall,0.10638669881900249,0.03594135501496318,0.0030763104147140687,11.225189985251838
rating_cleanliness,0.2501602594289648,0.02334388398979379,8.534194195698916e-27,28.423121035754374
rating_checkin,-0.07144628783279071,0.03194522060606841,0.0253173947815737,-6.895371523442007
rating_communication,-0.10986761085785389,0.02872115488043543,0.00013060228146764106,-10.404725813985728
rating_location,0.21314654026756596,0.021771417688675018,1.2404988364874328e-22,23.756599120795485
rating_value,-0.20074798305323707,0.026760221772978005,6.298055838032085e-14,-18.188141467639028
rating_listing_accuracy,-0.012083571405727911,0.03415859738084657,0.7235269590090332,-1.2010858229734134
has_smoke_alarm,0.057212740179898997,0.03291685741410062,0.08219346086812927,5.8881052981279325
has_wifi,0.02378250180123792,0.020977687386738764,0.25691845717288886,2.406756081698025
has_carbon_monoxide_alarm,0.02940691180466659,0.02043562814357616,0.15014992788667042,2.9843564730827277
has_hot_water,-0.1256429485967375,0.021677369198046473,6.789814897813481e-09,-11.807031519506895
has_hangers,-0.07505640414963205,0.018700975369782047,5.9824466922807786e-05,-7.230884077812327
has_kitchen,-0.08999756837237782,0.020378117432959454,1.0036625480683383e-05,-8.606659238575498
has_bed_linens,0.11656137743332928,0.016733904971973357,3.2705022432304116e-12,12.362647365976454
has_hair_dryer,0.26288902306788703,0.017527646037777365,7.505708012906022e-51,30.068236520336058
has_iron,0.07256487581992482,0.01654266958772091,1.151745852713009e-05,7.526256236775075
has_essentials,0.017824737436849536,0.015980188296440642,0.2646673789157261,1.7984546173372085
has_dishes_and_silverware,-0.05030515669242691,0.021537534412965426,0.019507033695695918,-4.906080523917988
has_microwave,-0.06139314026184409,0.01671167981249918,0.00023909464510346807,-5.954656302187733
has_refrigerator,0.018262840553063833,0.015826884253981814,0.24853601860613805,1.8430626082672985
has_cooking_basics,-0.044107422615447894,0.018815084366420366,0.019064949530881847,-4.3148835502684335
has_dedicated_workspace,0.016297114239128795,0.012362845196053159,0.18742556082925033,1.6430636562088985
has_air_conditioning,0.0870041544188418,0.01220924427474146,1.0326138619155621e-12,9.090121176941235
has_shampoo,0.13180648664621453,0.012703591946777733,3.2043271308135054e-25,14.088752093374325
has_heating,-0.04875224729983556,0.012137557515973434,5.903280351433801e-05,-4.758293563004756
has_self_check_in,0.14923533783965115,0.012298512205607001,6.939823825232148e-34,16.094617162672662
has_fire_extinguisher,0.04457135681352599,0.01225930867228067,0.00027721029411661736,4.557958327593092
borough_Brooklyn,0.31062568262792856,0.027427380979605107,9.824489098030644e-30,36.427845247222066
borough_Manhattan,0.6298069775324525,0.028824624361091566,7.838901624469222e-106,87.72481932126904
borough_Queens,0.14704874173983895,0.02889901146455975,3.6116220897187555e-07,15.841042459336885
borough_Staten Island,0.009785742551621318,0.05668657844220437,0.8629431219457968,0.9833779494788253
room_type_Hotel room,0.08275300555809184,0.06363478834486204,0.19345138463088063,8.627347190082023
room_type_Private room,-0.11744464666973159,0.014441130380507154,4.2000894423203675e-16,-11.081027000296572
room_type_Shared room,-0.20752758323130505,0.10175655503935616,0.041404963070601035,-18.740917241678233
host_tier_Individual,0.2641470307433154,0.018795926431482257,7.340285315631477e-45,30.23196632529075
host_tier_Mid-Multi,0.0003894455248979467,0.01995723649797124,0.9844310683103303,0.038952136865177955
host_tier_Small-Multi,0.07458348670502714,0.01865837887699955,6.406402451343141e-05,7.7435291289831065
