segment,raw_coverage_80,cal_coverage_80,conformal_Q,t_high,t_medium,floor
short_stay,0.6417165668662674,0.8006487025948104,28.91,0.22597652768869564,1.0003295315612883,0.1469450455313136
monthly,0.6749651810584958,0.8003133704735376,6.85,0.376099928626353,0.8173617673377143,0.07618387537555345
