listing_id,listing_name,listing_url,borough,neighborhood,room_type,property_type,host_tier,market_segment,actual_price_usd,predicted_fair_price_usd,prediction_sd_usd,prediction_uncertainty_pct,confidence_score,confidence_level,residual_usd,residual_pct_of_fair,pricing_signal
7837816,"Bright, Cozy room in Brooklyn",https://www.airbnb.com/rooms/7837816,Brooklyn,Bedford-Stuyvesant,Private room,Private room in rental unit,Small-Multi,short_stay,138.08,169.02,45.29,0.268,82.6,High,-30.94,-0.183,Below fair value (review price)
8152916,"Bright, Spacious, Classic Apt! Gen. Check-In/Out",https://www.airbnb.com/rooms/8152916,Manhattan,Washington Heights,Private room,Private room in condo,Individual,short_stay,188.3,198.5,57.05,0.2874,32.3,Low,-10.2,-0.0514,Below fair value (review price)
7871818,Private Studio Space + Bedroom,https://www.airbnb.com/rooms/7871818,Brooklyn,Bushwick,Private room,Private room in townhouse,Individual,short_stay,233.94,224.88,61.81,0.2748,59.6,Medium,9.06,0.0403,Above fair value (review price)
7331070,Home with Private Yard & Parking,https://www.airbnb.com/rooms/7331070,Queens,Bayside,Private room,Private room in home,Individual,short_stay,327.52,457.64,138.57,0.3028,23.4,Low,-130.12,-0.2843,Below fair value (review price)
7919372,KLO Room #6 With Private Bathroom,https://www.airbnb.com/rooms/7919372,Brooklyn,Crown Heights,Private room,Private room in home,Mid-Multi,short_stay,258.0,219.6,59.65,0.2716,72.5,Medium,38.4,0.1748,Above fair value (review price)
8173001,"Sunny, serene airport NYC getaway",https://www.airbnb.com/rooms/8173001,Queens,Howard Beach,Private room,Private room in tiny home,Individual,short_stay,223.0,206.03,72.87,0.3537,18.3,Low,16.97,0.0823,Above fair value (review price)
7937553,Steps to Subway & Shops • Quiet • Clean • FastWiFi,https://www.airbnb.com/rooms/7937553,Brooklyn,Gravesend,Private room,Private room in townhouse,Small-Multi,short_stay,228.0,219.97,71.04,0.3229,19.6,Low,8.03,0.0365,Above fair value (review price)
8054651,Private Sunlight Room in Brownstone Near Subway,https://www.airbnb.com/rooms/8054651,Brooklyn,Bedford-Stuyvesant,Private room,Private room in townhouse,Mid-Multi,short_stay,120.58,272.8,74.15,0.2718,71.3,Medium,-152.22,-0.558,Below fair value (review price)
8055508,Private Spring Room in Brownstone Near Subway,https://www.airbnb.com/rooms/8055508,Brooklyn,Bedford-Stuyvesant,Private room,Private room in townhouse,Mid-Multi,short_stay,132.0,245.14,66.63,0.2718,71.3,Medium,-113.14,-0.4615,Below fair value (review price)
8055582,Private Autumn Room in Brownstone Near Subway,https://www.airbnb.com/rooms/8055582,Brooklyn,Bedford-Stuyvesant,Private room,Private room in townhouse,Mid-Multi,short_stay,164.0,267.94,72.83,0.2718,71.3,Medium,-103.94,-0.3879,Below fair value (review price)
8272327,Quiet Brownstone Parlor Room with Private Bathroom,https://www.airbnb.com/rooms/8272327,Brooklyn,Cobble Hill,Private room,Private room in townhouse,Individual,short_stay,432.0,259.79,81.77,0.3147,20.5,Low,172.21,0.6629,Above fair value (review price)
8275676,LOVELY Clean&Safe 2 BR NYC Suburban,https://www.airbnb.com/rooms/8275676,Staten Island,Great Kills,Private room,Private room in home,Individual,short_stay,189.0,272.14,98.57,0.3622,18.1,Low,-83.14,-0.3055,Below fair value (review price)
8293281,Great Location/Neighborhood - Brooklyn Studio Gem,https://www.airbnb.com/rooms/8293281,Brooklyn,Prospect Heights,Private room,Private room in home,Individual,short_stay,343.0,246.63,70.96,0.2877,31.9,Low,96.37,0.3907,Above fair value (review price)
8536270,"Walk to UN, Macy's & Empire State Building",https://www.airbnb.com/rooms/8536270,Manhattan,Murray Hill,Private room,Private room in rental unit,Individual,short_stay,299.75,338.71,94.32,0.2785,46.4,Low,-38.96,-0.115,Below fair value (review price)
8055721,Private Garden View Room in Brownstone Near Subway,https://www.airbnb.com/rooms/8055721,Brooklyn,Bedford-Stuyvesant,Private room,Private room in townhouse,Mid-Multi,short_stay,155.0,257.53,70.0,0.2718,71.3,Medium,-102.53,-0.3981,Below fair value (review price)
8055778,Classic Elegance in Brownstone Near Subway,https://www.airbnb.com/rooms/8055778,Brooklyn,Bedford-Stuyvesant,Private room,Private room in townhouse,Mid-Multi,short_stay,124.39,273.09,74.23,0.2718,71.3,Medium,-148.7,-0.5445,Below fair value (review price)
8327773,"Gorgeous Brooklyn Brownstone Flat, Great Location!",https://www.airbnb.com/rooms/8327773,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire guest suite,Individual,short_stay,347.0,292.09,80.16,0.2744,61.9,Medium,54.91,0.188,Above fair value (review price)
8426915,Tans Private Cozy Place,https://www.airbnb.com/rooms/8426915,Queens,Jamaica,Entire home/apt,Entire home,Individual,short_stay,216.82,249.2,69.52,0.279,45.5,Low,-32.38,-0.1299,Below fair value (review price)
8479799,CLASSIC GUEST ROOM - UWS Townhouse,https://www.airbnb.com/rooms/8479799,Manhattan,Upper West Side,Private room,Private room in townhouse,Individual,short_stay,304.33,260.85,72.16,0.2766,51.7,Low,43.48,0.1667,Above fair value (review price)
